ts,packet_id,scheduled_ms,actual_ms,transmission_ms,queued_ms,jitter_ms,propagation_ms,lost
2025-08-14T12:54:51.670152,ENC_PKT_0,328.60505098923545,329.6854496002197,0.0144,70.54074039921717,8.049910590018289,250.0,False
2025-08-14T12:54:51.989415,ENC_PKT_0,318.5302926947562,319.2627429962158,0.0144,68.51589269475622,0.0,250.0,False
2025-08-14T12:54:52.004386,ENC_PKT_1,333.77343558129155,334.23399925231934,0.0144,79.71440153011356,4.0446340511779635,250.0,False
2025-08-14T12:54:52.301097,ENC_PKT_2,295.87156971796776,296.7104911804199,0.0144,41.17769627841168,4.679473439556067,250.0,False
2025-08-14T12:54:52.304048,ENC_PKT_1,299.4763455357865,299.66163635253906,0.0144,44.486469027089626,4.975476508696851,250.0,False
2025-08-14T12:54:52.634396,ENC_PKT_2,329.5184105592568,330.34801483154297,0.0144,75.55204758602672,3.9519629732300583,250.0,False
2025-08-14T12:54:52.637031,ENC_PKT_3,335.2760877049533,335.9346389770508,0.0144,78.52460430354668,6.73708340140659,250.0,False
2025-08-14T12:54:52.933766,ENC_PKT_4,295.9767005498268,296.7348098754883,0.0144,40.62613511876025,5.336165431066506,250.0,False
2025-08-14T12:54:52.945546,ENC_PKT_3,307.58159941043766,308.5145950317383,0.0144,55.2133443499132,2.3538550605244906,250.0,False
2025-08-14T12:54:53.242057,ENC_PKT_5,308.0683425200476,308.290958404541,0.0144,55.34408196221436,2.709860557833256,250.0,False
2025-08-14T12:54:53.268934,ENC_PKT_4,323.24316706196953,323.38833808898926,0.0144,69.56317313245526,3.6655939295142415,250.0,False
2025-08-14T12:54:53.528776,ENC_PKT_6,286.30478037025483,286.71884536743164,0.0144,31.17702343638998,5.113356933864857,250.0,False
2025-08-14T12:54:53.571779,ENC_PKT_5,302.5517836064697,302.8442859649658,0.0144,47.63509417702028,4.902289429449415,250.0,False
2025-08-14T12:54:53.843477,ENC_PKT_0,313.5739042803577,314.7010803222656,0.0144,57.974264562733765,5.585239717623903,250.0,False
2025-08-14T12:54:53.903413,ENC_PKT_6,331.094547298892,331.6340446472168,0.0144,76.43940183530842,4.640745463583593,250.0,False
2025-08-14T12:54:54.134831,ENC_PKT_7,291.17564803280357,291.3544178009033,0.0144,32.50175235605383,8.659495676749739,250.0,False
2025-08-14T12:54:54.230602,ENC_PKT_0,326.77678834767244,327.1899223327637,0.0144,70.17890803043754,6.583480317234901,250.0,False
2025-08-14T12:54:54.429574,ENC_PKT_8,294.4026774626999,294.7423458099365,0.0144,40.82568607039623,3.5625913923036663,250.0,False
2025-08-14T12:54:54.540082,ENC_PKT_7,309.35868996847,309.4794750213623,0.0144,52.27540220098056,7.068887767489457,250.0,False
2025-08-14T12:54:54.720128,ENC_PKT_9,290.3589564979001,290.5540466308594,0.0144,35.697096475150936,4.647460022749199,250.0,False
2025-08-14T12:54:54.836218,ENC_PKT_8,295.8739558395076,296.13566398620605,0.0144,40.73622531490942,5.12333052459813,250.0,False
2025-08-14T12:54:55.023482,ENC_PKT_1,303.094406460305,303.35378646850586,0.0144,50.04786516473234,3.0321412955726093,250.0,False
2025-08-14T12:54:55.131583,ENC_PKT_9,294.5030749976646,295.365571975708,0.0144,39.77036570109687,4.71830929656773,250.0,False
2025-08-14T12:54:55.338125,ENC_PKT_10,314.3694207160058,314.64314460754395,0.016,56.8539038240027,7.49951689200307,250.0,False
2025-08-14T12:54:55.446595,ENC_PKT_1,314.5730933516756,315.01197814941406,0.0144,58.1679752083388,6.390718143336782,250.0,False
